Key,Description,English,Czech,Danish,German,Spanish,Finnish,French,Hindi,Hungarian,Italian,Japanese,Korean,Norwegian,Dutch,Polish,Portuguese,Portuguese (Brazil),Romanian,Russian,Slovak,Swedish,Turkish,Ukrainian,Chinese (Simplified),Chinese (Traditional)
,,en,cs,da,de,es,fi,fr,hi,hu,it,ja,ko,nb,nl,pl,pt,pt-br,ro,ru,sk,sv,tr,uk,zh-CN,zh-TW
passjobs/license_1_name,,Passengers 1,Osobní vlaky,,Personenzüge 1,Pasajeros,,Passagers,यात्रीगण,Utasok,Passeggeri,旅客,여객,Passasjerer,Passagiers,Przewozy Pasażerskie,Passageiros,,Transport de Pasageri,Пассажирские перевозки,Osobná Doprava,Passagerare,,Перевезення пасажирів,客运许可,客運
passjobs/license_2_name,,Passengers 2,Osobní vlaky,,Personenzüge 2,Pasajeros,,Passagers,यात्रीगण,Utasok,Passeggeri,旅客,여객,Passasjerer,Passagiers,Przewozy Pasażerskie,Passageiros,,Transport de Pasageri,Пассажирские перевозки,Osobná Doprava,Passagerare,,Перевезення пасажирів,客运许可,客運
passjobs/license_1_description,,This license grants you access to jobs hauling regional rail coaches.,Tato licence Vám uděluje přístup k práci s dopravou prázdných a plných vozů s cestujícími,,Diese Lizenz erlaubt Dir Aufträge für die Beförderung von Passagieren mit Regionalzügen anzunehmen.,Esta licencia le permite acceder a pedidos de transporte de coches de pasajeros vacíos y llenos.,,Cette licence vous accorde l'accès à tous les jobs de type passagers. Ce type de job implique le transport de wagons de passagers haut-le-pied et pleins.,यह अनुज्ञापत्र आपको उन नौकरियों को लेने की अनुमति देता है जिनमें खाली और भरे हुए यात्री डिब्बों को ढोना होता है।,"Ez az engedély felhatalmaz, üres illetve teli utasszállító vagonok szállítására.",Questa licenza permette l'accesso ai contratti per il trasporto di vagoni passeggeri vuoti e pieni,このライセンスは旅客輸送および客車運送を許可します。,이 라이선스는 여객운송 및 객차 이용에 대한 권한을 부여합니다.,Denne lisensen gir deg tilgang til jobber der du skal frakte tomme og fulle passasjervogner,Deze licentie geeft toegang tot opdrachten voor het vervoeren van lege en gevulde passagier wagons,Ta licencja zapewnia dostęp do zleceń obejmujących przewóz pustych oraz pełnych wagonów pasażerskich.,"Esta licença dá-lhe accesso a todos os serviços do tipo ""Transporte de Passageiros"". Este tipo de serviço envolve a entrega de carruagens, com ou sem passageiros.",,Această licență vă oferă acces la transportul de pasageri. Acest tip de comandă implica transportul de vagoane de pasageri in tranzit sau pline.,Эта лицензия предоставляет Вам доступ к пассажирским перевозкам и перемещению пустых пассажирских вагонов.,Táto licencia vám umožňuje prístup k zakázkam na prepravu prázdnych a obsadených osobných vozňov.,Denna licens ger dig tillgång till jobb som involverar att transportera passagerarvagnar antingen med eller utan passagerare.   ,Bu lisans yolcu vagonları taşımanızı sağlar,Ця ліцензія надає доступ до перевезення вагонів з пасажирами і без них,这张许可证授权你牵引客车车厢进行空车回送或载客运输业务,此執照允許您承接載客及客車回送工作。
passjobs/license_2_description,,This license grants you access to jobs hauling intercity express coaches.,Tato licence Vám uděluje přístup k práci s dopravou prázdných a plných vozů s cestujícími,,"Diese Lizenz erlaubt Dir Aufträge für die Beförderung von Passagieren mit Schnellzügen anzunehmen.
",Esta licencia le permite acceder a pedidos de transporte de coches de pasajeros vacíos y llenos.,,Cette licence vous accorde l'accès à tous les jobs de type passagers. Ce type de job implique le transport de wagons de passagers haut-le-pied et pleins.,यह अनुज्ञापत्र आपको उन नौकरियों को लेने की अनुमति देता है जिनमें खाली और भरे हुए यात्री डिब्बों को ढोना होता है।,"Ez az engedély felhatalmaz, üres illetve teli utasszállító vagonok szállítására.",Questa licenza permette l'accesso ai contratti per il trasporto di vagoni passeggeri vuoti e pieni,このライセンスは旅客輸送および客車運送を許可します。,이 라이선스는 여객운송 및 객차 이용에 대한 권한을 부여합니다.,Denne lisensen gir deg tilgang til jobber der du skal frakte tomme og fulle passasjervogner,Deze licentie geeft toegang tot opdrachten voor het vervoeren van lege en gevulde passagier wagons,Ta licencja zapewnia dostęp do zleceń obejmujących przewóz pustych oraz pełnych wagonów pasażerskich.,"Esta licença dá-lhe accesso a todos os serviços do tipo ""Transporte de Passageiros"". Este tipo de serviço envolve a entrega de carruagens, com ou sem passageiros.",,Această licență vă oferă acces la transportul de pasageri. Acest tip de comandă implica transportul de vagoane de pasageri in tranzit sau pline.,Эта лицензия предоставляет Вам доступ к пассажирским перевозкам и перемещению пустых пассажирских вагонов.,Táto licencia vám umožňuje prístup k zakázkam na prepravu prázdnych a obsadených osobných vozňov.,Denna licens ger dig tillgång till jobb som involverar att transportera passagerarvagnar antingen med eller utan passagerare.   ,Bu lisans yolcu vagonları taşımanızı sağlar,Ця ліцензія надає доступ до перевезення вагонів з пасажирами і без них,这张许可证授权你牵引客车车厢进行空车回送或载客运输业务,此執照允許您承接載客及客車回送工作。
passjobs/license_1_item_name,Name of license in inventory,License Passengers 1,Licence cestující,,Lizenz Personenzüge 1 Info,Licencia de Pasajeros,,Licence de Passagers,यात्रीगण नौकरियाँ  संबंधित अनुज्ञापत्र,Utasszállítási engedély,Licenza per passeggeri,旅客ライセンス,여객 라이선스,Passasjerlisens,Passagiers licentie,Licencja na Przewozy Pasażerskie,Licença de passageiros,,Licență de Pasageri,Лицензия: Пассажирские перевозки,Licencia Osobná Doprava,Passagerarlicens,Yolcu taşına lisansı,Пасажирські перевезення,客运许可,「客運」執照
passjobs/license_2_item_name,Name of license in inventory,License Passengers 2,Licence cestující,,Lizenz Personenzüge 2 Info,Licencia de Pasajeros,,Licence de Passagers,यात्रीगण नौकरियाँ  संबंधित अनुज्ञापत्र,Utasszállítási engedély,Licenza per passeggeri,旅客ライセンス,여객 라이선스,Passasjerlisens,Passagiers licentie,Licencja na Przewozy Pasażerskie,Licença de passageiros,,Licență de Pasageri,Лицензия: Пассажирские перевозки,Licencia Osobná Doprava,Passagerarlicens,Yolcu taşına lisansı,Пасажирські перевезення,客运许可,「客運」執照
passjobs/license_1_sample_item_name,Name of license sample in inventory,License Passengers 1 Info,Informace o licenci cestující,,Lizenz Personenzüge 1 Info,Información de Licencia de Pasajeros,,Licence de Passagers Info,यात्रीगण नौकरियाँ  संबंधित अनुज्ञापत्र (जानकारी),Utasszállítási engedély Információk,Informazione sulla licenza per passeggeri,旅客ランセンス情報,여객 라이선스 정보,Info om passasjerlisens,Passagiers licentie info,Informacje o licencji na Przewozy Pasażerskie,Informações sobre a licença de passageiros,,Licență de Pasageri,Лицензия: Пассажирские перевозки (инфо),Informácie o licencii Osobná Doprava,Passagerarlicens information,Yolcu taşıma lisansı bilgisi,Пасажирські перевезення (зразок),客运许可介绍,「客運」執照說明
passjobs/license_2_sample_item_name,Name of license sample in inventory,License Passengers 2 Info,Informace o licenci cestující,,Lizenz Personenzüge 2 Info,Información de Licencia de Pasajeros,,Licence de Passagers Info,यात्रीगण नौकरियाँ  संबंधित अनुज्ञापत्र (जानकारी),Utasszállítási engedély Információk,Informazione sulla licenza per passeggeri,旅客ランセンス情報,여객 라이선스 정보,Info om passasjerlisens,Passagiers licentie info,Informacje o licencji na Przewozy Pasażerskie,Informações sobre a licença de passageiros,,Licență de Pasageri,Лицензия: Пассажирские перевозки (инфо),Informácie o licencii Osobná Doprava,Passagerarlicens information,Yolcu taşıma lisansı bilgisi,Пасажирські перевезення (зразок),客运许可介绍,「客運」執照說明
,,,,,,,,,,,,,,,,,,,,,,,,,,
